text	kana	fed_text	sources
5キロ走り続けました。	ゴ'キロ/ハシリツズケマ'_シタ	5キロ走り続けました。	grammar-n4#n4-27
アジアでいちばん長い川は何ですか。	ア'ジアデ/イチ'バン/ナガ'イ/カワ'ワ/ナ'ニデ_スカ	アジアでいちばん長い川は何ですか。	grammar-n4#n4-39
あのスープは熱そうです。	アノ'/ス'ウプワ/ネッソオデ_ス'	あのスープは熱そうです。	grammar-n4#n4-31
あのレストランは人気だろう。	アノ'/レ'_ストランワ/ニンキダロオ'	あのレストランは人気だろう。	grammar-n4#n4-36
あんなに準備した人が失敗するはずがありません。	アンナニ'/ジュ'ンビ/_シタ'/_ヒトガ'/シッパイ'/スル'/ハズガ'/アリマセ'ン	あんなに準備した人が失敗するはずがありません。	grammar-n4#n4-35
いつでも連絡してください。	イ'ツデモ/レンラク'/_シテ'/クダサ'イ	いつでも連絡してください。	grammar-n4#n4-67
お茶とかお菓子とかを買ってきました。	オチャトカ'/オカ'_シトカオ/カッテ'/キマ'_シタ	お茶とかお菓子とかを買ってきました。	grammar-n4#n4-68
カラオケとか行きませんか。	カラオケトカ'/イキマセ'ンカ	カラオケとか行きませんか。	grammar-n4#n4-68
このエレベーターは故障することがあります。	コノ'/エレベ'エタアワ/コショオ'/スル'/コト'ガ/アリマ'_ス	このエレベーターは故障することがあります。	grammar-n4#n4-73
このデザインはセンスがいいと思います。	コノ'/デザ'インワ/セ'ンスガ/イ'イト/オモイマ'_ス	このデザインはセンスがいいと思います。	grammar-n4#n4-41
このペンは書きやすいです。	コノ'/ペ'ンワ/カキヤス'イデ_ス	このペンは書きやすいです。	grammar-n4#n4-5
この椅子を使ってもいいですか。	コノ'/イスオ'/_ツカッテモ'/イ'イデ_スカ	この椅子を使ってもいいですか。	grammar-n4#n4-13
この会社に入ったばかりです。	コノ'/カイシャニ'/ハ'イッタバカリデ_ス	この会社に入ったばかりです。	grammar-n4#n4-29
この鍵を回すと、金庫が開きます。	コノ'/カギ'オ/マワ_スト'、キ'ンコガ/ヒラキマ'_ス	この鍵を回すと、金庫が開きます。	grammar-n4#n4-57
この湖の深さは50メートルです。	コノ'/ミズウ'ミノ/_フカ'サワ/ゴジュウメ'エトルデ_ス	この湖の深さは50メートルです。	grammar-n4#n4-72
この書類の書き方を教えてください。	コノ'/ショルイノ'/カ_キカ'タオ/オシエテ'/クダサ'イ	この書類の書き方を教えてください。	grammar-n4#n4-6
この図書館で Wi-Fi を使うことができます。	コノ'/トショ'カンデ、ワイファイ'、オ'/_ツカウ'/コト'ガ/デキマ'_ス	この図書館で Wi-Fi を使うことができます。	grammar-n4#n4-9
この冬は去年ほど寒くないです。	コノ'/フユ'ワ/キョネンホド'/サム'クナイデ_ス	この冬は去年ほど寒くないです。	grammar-n4#n4-38
この部屋に入るな！	コノ'/ヘヤ'ニ/ハ'イルナ	この部屋に入るな！	grammar-n4#n4-53
この味付けは濃すぎます。	コノ'/アジ_ツケワ'/コスギマ'_ス	この味付けは濃すぎます。	grammar-n4#n4-12
これから会議に出るところです。	コレカラ'/カ'イギニ/デ'ル/トコロデ'_ス	これから会議に出るところです。	grammar-n4#n4-28
これから物価はもっと上がっていきます。	コレカラ'/ブッカワ'/モ'ット/アガッテ'/イキマ'_ス	これから物価はもっと上がっていきます。	grammar-n4#n4-26
ご予約は何時ですか。	ゴヨ'ヤクワ/ナン'ジデ_スカ	ご予約は何時ですか。	grammar-n4#n4-65
さっき歯を磨いたばかりです。	サ'ッ_キ/ハ'オ/ミガイタ'バカリデ_ス	さっき歯を磨いたばかりです。	grammar-n4#n4-29
システム障害が起きたために、作業が遅れました。	_システムショ'オガイガ/オキ'タ/タメ'ニ、サ'ギョオガ/オクレマ'_シタ	システム障害が起きたために、作業が遅れました。	grammar-n4#n4-18
