text	kana	fed_text	sources
ああ	ア'ア	ああ	vocab-n5
あいだ	アイダ'	あいだ	vocab-n5
あう	ア'ウ	あう	vocab-n5,vocab-n4
あお	ア'オ	あお	vocab-n5
あおい	アオ'イ	あおい	vocab-n5
あか	ア'カ	あか	vocab-n5
あかい	アカイ'	あかい	vocab-n5
あかるい	アカルイ'	あかるい	vocab-n5,vocab-n4
あく	アク'	あく	vocab-n5
あける	アケル'	あける	vocab-n5,vocab-n4
あげる	アゲル'	あげる	vocab-n5,vocab-n4,confusables-word
あさ	ア'サ	あさ	vocab-n5
あさごはん	アサゴ'ハン	あさごはん	vocab-n5
あさって	アサッテ'	あさって	vocab-n5
あし	ア'シ	あし	vocab-n5
あした	ア_シタ'	あした	vocab-n5
あそこ	アソコ'	あそこ	vocab-n5
あそぶ	アソブ'	あそぶ	vocab-n5
あたたかい	アタタカ'イ	あたたかい	vocab-n5,vocab-n2
あたま	アタマ'	あたま	vocab-n5,vocab-n4
あたらしい	アタラシ'イ	あたらしい	vocab-n5,vocab-n3
あちら	アチラ'	あちら	vocab-n5
あつい	アツ'イ	あつい	vocab-n5,vocab-n2
あなた	アナ'タ	あなた	vocab-n5
あの	アノ'	あの	vocab-n5
あのう	アノ'ウ	あのう	vocab-n5
あびる	アビル'	あびる	vocab-n5
あぶない	アブナイ'	あぶない	vocab-n5,vocab-n3
あまい	アマイ'	あまい	vocab-n5,vocab-n3
あまり	アマリ'	あまり	vocab-n5
あめ	アメ'	あめ	vocab-n5
あめりか	アメリカ'	あめりか	vocab-n5
あらう	ア'ラア	あらう	vocab-n5
ありがとうございます	アリ'ガトオ/ゴザイマ'_ス	ありがとうございます	vocab-n5
ある	ア'ル	ある	vocab-n5
あるく	アル'ク	あるく	vocab-n5
あれ	アレ'	あれ	vocab-n5
あんな	アンナ'	あんな	vocab-n5
いい	イ'イ	いい	vocab-n5
いいえ	イイエ'	いいえ	vocab-n5
いう	イウ'	いう	vocab-n5
いえ	イ'エ	いえ	vocab-n5
いぎりす	イギリス'	いぎりす	vocab-n5
いく	イ'ク	いく	vocab-n5
いくつ	イ'_クツ	いくつ	vocab-n5
いくら	イ'クラ	いくら	vocab-n5
いけ	イケ'	いけ	vocab-n5
いしゃ	イ'シャ	いしゃ	vocab-n5
いす	イス'	いす	vocab-n5
いそがしい	イソガシ'イ	いそがしい	vocab-n5,vocab-n3,vocab-n2
いたい	イタ'イ	いたい	vocab-n5,vocab-n4,vocab-n3,vocab-n2
いただきます	イタダキマ'_ス	いただきます	vocab-n5
いちがつ	イ'チガ/ツ'	いちがつ	vocab-n5
いちばん	イチバン'	いちばん	vocab-n5
いつ	イ'ツ	いつ	vocab-n5
いっしょに	イッショニ'	いっしょに	vocab-n5
いつつ	イツ'ツ	いつつ	vocab-n5
いってきます	イッテ'/キマ'_ス	いってきます	vocab-n5
いってらっしゃい	イッテラッシャイ'	いってらっしゃい	vocab-n5
いつも	イ'ツモ	いつも	vocab-n5,vocab-n4
いぬ	イヌ'	いぬ	vocab-n5
いま	イ'マ	いま	vocab-n5
いみ	イミ'	いみ	vocab-n5,vocab-n4,vocab-n3
いもうと	イモオ'ト	いもうと	vocab-n5
いりぐち	イリグチ'	いりぐち	vocab-n5,vocab-n4
いる	イル'	いる	vocab-n5,vocab-n1
いれる	イレル'	いれる	vocab-n5
いろ	イロ'	いろ	vocab-n5
いろいろ	イロイロ'	いろいろ	vocab-n5
うえ	ウ'エ	うえ	vocab-n5
うごく	ウゴ'ク	うごく	vocab-n5,vocab-n4
うしろ	ウシロ'	うしろ	vocab-n5
うた	ウタ'	うた	vocab-n5,vocab-n4
うたう	ウタウ'	うたう	vocab-n5,vocab-n1
うち	ウチ'	うち	vocab-n5
うまれる	ウマレル'	うまれる	vocab-n5
うみ	ウ'ミ	うみ	vocab-n5
うる	ウル'	うる	vocab-n5
うるさい	ウルサ'イ	うるさい	vocab-n5,vocab-n4,vocab-n3,confusables-word
うれしい	ウレシ'イ	うれしい	vocab-n5,vocab-n4,vocab-n3
うんどうする	ウ'ン/ド'オ/スル'	うんどうする	vocab-n5,vocab-n4
えあこん	エアコ'ン	えあこん	vocab-n5,vocab-n4
えいが	エ'イガ	えいが	vocab-n5
えいがかん	エイガカン'	えいがかん	vocab-n5
えいご	エ'イゴ	えいご	vocab-n5
ええ	エ'エ	ええ	vocab-n5
ええと	エ'エト	ええと	vocab-n5
えき	エ'キ	えき	vocab-n5
えれべーたー	エ'レベエタア	えれべーたー	vocab-n5
えんぴつ	エン_ピツ'	えんぴつ	vocab-n5
おいしい	オイシ'イ	おいしい	vocab-n5,vocab-n2
