text	kana	fed_text	sources
SNSを通じて、昔の友人と再会した。	エスエヌエ'スオ/ツウジテ'、ムカシノ'/ユウジント'/サイカイ'/_シタ'	SNSを通じて、昔の友人と再会した。	grammar-n3#n3-59
あなたさえいれば、他に何もいらない。	アナ'タサエ/イレ'バ、ホ'カニ/ナ'ニモ/イラナイ'	あなたさえいれば、他に何もいらない。	grammar-n3#n3-17
あの会社は来月リモートワークを廃止するらしい。	アノ'/カイシャワ'/ラ'イゲツ/リモオトワ'アクオ/ハイ_シ'/スルラシ'イ	あの会社は来月リモートワークを廃止するらしい。	grammar-n3#n3-52
あの新しい書店は品揃えがいいそうだ。	アノ'/アタラシ'イ/ショテンワ'/シナゾ'ロエガ/イイ'ソオダ	あの新しい書店は品揃えがいいそうだ。	grammar-n3#n3-66
あの本、もう読んだっけ？	アノ'/ホ'ン、モ'オ/ヨ'ンダッケ？	あの本、もう読んだっけ？	grammar-n3#n3-78
アンケートに基づく改善案を提示した。	ア'ンケエトニ/モトズ'_ク/カイゼン'アンオ/テエジ'/_シタ'	アンケートに基づく改善案を提示した。	grammar-n3#n3-60
いつも笑顔でいることから、彼は「太陽」と呼ばれている。	イ'ツモ/エ'ガオデ/イル'/コト'カラ、カ'レワ、タ'イヨオ、ト'/ヨバレテ'/イル'	いつも笑顔でいることから、彼は「太陽」と呼ばれている。	grammar-n3#n3-56
エアコンがついている。	エアコンガ'/ツ'イテ/イル'	エアコンがついている。	grammar-n3#n3-68
エアコンなしの部屋は暑くてたまらない。	エアコン'/ナ'シノ/ヘヤ'ワ/アツ'_クテ/タマラナイ'	エアコンなしの部屋は暑くてたまらない。	grammar-n3#n3-76
エレベーターより階段を使うようにしている。	エレベ'エタアヨリ/カイダンオ'/_ツカウ'/ヨ'オニ/_シテ'/イル'	エレベーターより階段を使うようにしている。	grammar-n3#n3-39
オンラインで申請することができるようになった。	オンラ'インデ/シンセエ'/スル'/コト'ガ/デキ'ル/ヨ'オニ/ナ'ッタ	オンラインで申請することができるようになった。	grammar-n3#n3-75
お客様に対して丁寧な言葉遣いを心がける。	オキャ_クサ'マニ/タ'イ_シテ/テ'エネエナ/コトバズ'カイオ/ココロガケ'ル	お客様に対して丁寧な言葉遣いを心がける。	grammar-n3#n3-2
コーヒーを3杯飲んだから、夜眠れないわけだ。	コオヒ'イオ/サン'バイ/ノ'ンダカラ、ヨ'ル/ネムレナイ'/ワ'ケダ	コーヒーを3杯飲んだから、夜眠れないわけだ。	grammar-n3#n3-41
ここ数年、オンライン会議が増えてきた。	ココ'/スウ'ネン、オンラインカ'イギガ/フエ'テ/キ'タ	ここ数年、オンライン会議が増えてきた。	grammar-n3#n3-67
こちらこそ、今後ともよろしくお願いします。	コチラコ'ソ、コンゴト'モ/ヨロ_シクオネガイシマ'_ス	こちらこそ、今後ともよろしくお願いします。	grammar-n3#n3-64
このケーキはとてもおいしそうだ。	コノ'/ケ'エキワ/トテモ'/オイシ'ソオダ	このケーキはとてもおいしそうだ。	grammar-n3#n3-65
このソフトは機能が豊富な反面、操作が複雑だ。	コノ'/ソ'_フトワ/キ'ノオガ/ホオフナ'/ハンメン'、ソ'オサガ/_フクザツダ'	このソフトは機能が豊富な反面、操作が複雑だ。	grammar-n3#n3-79
このプロジェクトに配属されたばかりで、右も左もわからない。	コノ'/プロ'ジェ_クトニ/ハイゾ_ク'/サレタ'バカリデ、ミギモ'/ヒダリモ'/ワカラ'ナイ	このプロジェクトに配属されたばかりで、右も左もわからない。	grammar-n3#n3-11
このレストランは値段が手頃なわりに、料理の質が高い。	コノ'/レ'_ストランワ/ネダンガ'/テゴロナ'/ワリニ'、リョ'オリノ/_シツガ'/タカ'イ	このレストランは値段が手頃なわりに、料理の質が高い。	grammar-n3#n3-29
この教材は社会人向けに作られている。	コノ'/キョオザイワ'/シャカイジン'ムケニ/_ツク'ラレテ/イル'	この教材は社会人向けに作られている。	grammar-n3#n3-37
この事案に関して、後日詳細をご報告します。	コノ'/ジアンニ'/カン_シテ'、ゴ'ジ_ツ/ショオサイオ'/ゴホ'オコ_ク/シマ'_ス	この事案に関して、後日詳細をご報告します。	grammar-n3#n3-28
この写真を見るたびに、学生時代を思い出す。	コノ'/シャシンオ'/ミ'ル/タビ'ニ、ガ_クセエジ'ダイオ/オモイダ'ス	この写真を見るたびに、学生時代を思い出す。	grammar-n3#n3-57
この書類に社長の印があるはずだ。	コノ'/ショルイニ'/シャチョオノ'/シルシガ'/ア'ル/ハズダ'	この書類に社長の印があるはずだ。	grammar-n3#n3-45
この小説は有名な作家によって書かれた。	コノ'/ショオセツワ'/ユウメエナ'/サッカニ'/ヨッテ'/カ'カレタ	この小説は有名な作家によって書かれた。	grammar-n3#n3-4
この色はちょっと子供っぽい。	コノ'/イロ'ワ/チョ'ット/コドモッポイ'	この色はちょっと子供っぽい。	grammar-n3#n3-33
この地域は温泉が湧いていることから、観光地として知られている。	コノ'/チ'イキワ/オンセンガ'/ワイテ'/イル'/コト'カラ、カンコオ'_チト/_シテ'/シラレテ'/イル'	この地域は温泉が湧いていることから、観光地として知られている。	grammar-n3#n3-56
この展示は事前予約なしで入場することができます。	コノ'/テンジワ'/ジゼンヨ'ヤク/ナ'シデ/ニュウジョオ'/スル'/コト'ガ/デキマ'_ス	この展示は事前予約なしで入場することができます。	grammar-n3#n3-75
この味付けは子供向きだ。	コノ'/アジ_ツケワ'/コドモムキダ'	この味付けは子供向きだ。	grammar-n3#n3-37
これからも地道に努力していくつもりだ。	コレカラモ'/ジミチニ'/ド'リョク/_シテ'/イ_ク'/ツモリダ'	これからも地道に努力していくつもりだ。	grammar-n3#n3-67
これから昼食に出かけるところだ。	コレカラ'/チュウショクニ'/デカケル'/トコロダ'	これから昼食に出かけるところだ。	grammar-n3#n3-10
コンサート会場で隣の人に肩をぶつけられた。	コンサアトカ'イジョオデ/トナリノ'/_ヒトニ'/カ'タオ/ブ_ツケラレタ'	コンサート会場で隣の人に肩をぶつけられた。	grammar-n3#n3-71
コンサルタントを通じて、取引先を紹介してもらった。	コンサ'ルタントオ/ツウジテ'、トリ_ヒキサキオ'/ショオカイ'/_シテ'/モラッタ'	コンサルタントを通じて、取引先を紹介してもらった。	grammar-n3#n3-59
こんな値段で本物が手に入るわけがない。	コンナ'/ネダンデ'/ホンモノガ'/テ'ニ/ハ'イル/ワ'ケガ/ナ'イ	こんな値段で本物が手に入るわけがない。	grammar-n3#n3-42
システム障害のせいで、全社員が定時で帰れなかった。	_システムショ'オガイノ/セ'イデ、ゼンシャ'インガ/テ'エジデ/カエレ'ナカッタ	システム障害のせいで、全社員が定時でかえれなかった。	grammar-n3#n3-7
シャワーを浴びている間に、電話が鳴っていた。	シャ'ワアオ/アビテ'/イル'/アイダニ'、デンワガ'/ナッテ'/イタ'	シャワーを浴びている間に、電話が鳴っていた。	grammar-n3#n3-14
ずっと海外勤務だったから、英語が流暢なわけだ。	ズット'/カイガイキ'ンムダッタカラ、エエゴガ'/リュ'ウチョオナ/ワ'ケダ	ずっと海外勤務だったから、英語が流暢なわけだ。	grammar-n3#n3-41
そのぐらいのことで落ち込むことはない。	ソノグライノ'/コト'デ/オ_チコ'ム/コト'/カ'ナ、ハ'、ナ'/イ'	そのぐらいのことで落ち込むことkana:ハ'ナい。	grammar-n3#n3-49
